Name,Revenue_2022,Revenue(% change)_2022,Profits in millions_2022,Market value_2022,Employees_2022,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021,Sector,City,State,Ceo_woman
H&R Block,3588.6,35.9,683.9,4284.6,"38,000",2639.7,-0.147,-7.5,3955.2,42000,Financials,Kansas City,MO,no
iHeartMedia,3558.3,20.7,-159.2,2728.1,"9,990",2948.2,-0.2,-1914.7,2584.6,9588,Media,San Antonio,TX,no
Super Micro Computer,3557.4,6.5,111.9,1963.0,"4,155",3339.3,-0.046,84.3,1975.5,3987,Technology,San Jose,CA,no
Flowserve,3541.1,-5.0,125.9,4681.4,"16,000",3728.1,-0.054,116.3,5056.0,16000,Industrials,Irving,TX,no
Charles River Laboratories International,3540.2,21.1,391.0,14425.4,"19,300",2923.9,0.115,364.3,14552.4,18400,Health Care,Wilmington,MA,no
A.O. Smith,3538.9,22.2,487.1,10032.2,"13,700",2895.3,-0.033,344.9,10932.7,13900,Industrials,Milwaukee,WI,no
Granite Construction,3501.9,-1.7,10.1,1504.7,"2,600",3562.5,0.034,-145.1,1843.0,4100,Engineering & Construction,Watsonville,CA,no
Valmont Industries,3501.6,20.9,195.6,5083.4,"11,041",2895.4,0.046,140.7,5053.7,10844,Materials,Omaha,NE,no
Sprague Resources,3498.2,49.8,-68.9,433.7,757,2336.0,-0.333,33.8,502.3,765,Energy,Portsmouth,NH,no
Primoris Services,3497.6,0.2,115.6,1269.8,"10,810",3491.5,0.124,105.0,1779.9,10414,Engineering & Construction,Dallas,TX,no
Cboe Global Markets,3494.8,2.0,529.0,12148.2,"1,196",3427.1,0.373,468.2,10580.6,1010,Financials,Chicago,IL,no
Carter's,3486.4,15.3,339.7,3763.4,"15,900",3024.3,-0.141,109.7,3908.5,18000,Apparel,Atlanta,GA,no
TopBuild,3486.2,28.3,324.0,5987.1,"13,006",2718.0,0.036,247.0,6925.4,10540,Engineering & Construction,Daytona Beach,FL,no
SiteOne Landscape Supply,3475.7,28.5,238.4,7255.5,"5,475",2704.5,0.147,121.3,7579.5,4680,Wholesalers,Roswell,GA,no
Texas Roadhouse,3463.9,44.4,245.3,5787.8,"73,300",2398.1,-0.13,31.3,6679.3,32474,"Hotels, Restaurants & Leisure",Louisville,KY,no
Akamai Technologies,3461.2,8.2,651.6,19210.0,"8,700",3198.1,0.105,557.1,16632.1,8368,Technology,Cambridge,MA,no
Acuity Brands,3461.0,4.0,306.3,6628.9,"13,000",3326.3,-0.094,248.3,5891.4,11500,Industrials,Atlanta,GA,no
Brown-Forman,3461.0,2.9,903.0,31376.6,"4,700",3363.0,0.012,827.0,32119.3,4800,"Food, Beverages & Tobacco",Louisville,KY,no
Navient,3454.0,-7.3,717.0,2592.3,"5,263",3728.0,-0.326,412.0,2629.8,6485,Financials,Wilmington,DE,no
Option Care Health,3438.6,13.4,139.9,5139.0,"6,334",3032.6,0.313,-8.1,3189.9,5499,Health Care,Bannockburn,IL,no
Floor & Decor Holdings,3433.5,41.5,283.2,8573.8,"9,276",2425.8,0.186,195.0,9988.2,7593,Retailing,Atlanta,GA,no
Public Storage,3415.8,17.2,1953.3,68438.2,"5,800",2915.1,0.024,1357.2,43131.1,5400,Financials,Glendale,CA,no
Cabot,3409.0,30.4,250.0,3871.1,"4,500",2614.0,-0.217,-238.0,2969.0,4500,Chemicals,Boston,MA,no
Atmos Energy,3407.5,20.8,665.6,16182.8,"4,684",2821.1,-0.028,601.4,12668.7,4694,Energy,Dallas,TX,no
Selective Insurance Group,3379.2,15.6,403.8,5391.5,"2,440",2922.3,0.027,246.4,4354.1,2400,Financials,Branchville,NJ,no
Take-Two Interactive Software,3372.8,9.2,588.9,17744.1,"6,495",3089.0,0.158,404.5,20351.9,5800,Media,New York,NY,no
Boyd Gaming,3369.8,54.7,463.8,7234.0,"15,114",2178.5,-0.345,-134.7,6608.3,14284,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
Plexus,3368.9,-0.6,138.9,2298.6,"19,200",3390.4,0.071,117.5,2646.7,19500,Technology,Neenah,WI,no
ScanSource,3364.2,-6.8,10.8,890.8,"2,200",3609.2,-0.068,-192.7,762.3,2200,Wholesalers,Greenville,SC,no
Franchise Group,3362.7,56.2,363.8,1669.6,"11,895",2152.5,7.11,25.1,1447.8,6421,Retailing,Delaware,OH,no
Mr. Cooper Group,3344.0,22.4,1454.0,3369.4,"8,200",2733.0,0.362,305.0,3150.0,9800,Financials,Coppell,TX,no
Fortinet,3342.2,28.8,606.8,54957.1,"10,195",2594.4,0.199,488.5,30095.7,8238,Technology,Sunnyvale,CA,no
Brinker International,3337.8,8.4,131.6,1701.9,"59,491",3078.5,-0.043,24.4,3230.4,62200,"Hotels, Restaurants & Leisure",Dallas,TX,no
Albemarle,3328.0,6.4,123.7,25899.4,"6,000",3128.9,-0.128,375.8,17053.7,5900,Chemicals,Charlotte,NC,no
Peabody Energy,3318.3,15.2,360.1,3391.5,"4,900",2881.1,-0.377,-1870.3,300.9,4600,Energy,St. Louis,MO,no
Evercore,3307.1,44.7,740.1,4275.1,"1,940",2285.3,0.126,350.6,5536.1,1791,Financials,New York,NY,no
Stewart Information Services,3305.8,44.5,323.2,1635.1,"7,300",2288.4,0.18,154.9,1392.0,5800,Financials,Houston,TX,no
