"Company","Revenue_2021","Revenue%change_2021","Profits_in_millions_2021","Market_value_2021","Employees_2021","Revenue_2022","Revenue%change_2022","Profits_in_millions_2022","Market_value_2022","Employees_2022","Sector","City","State","Ceo_woman","lat","long"
"PG&E","18469","0.078","-1318","23240.6",24000,"20642","11.8","-102","29433.7",26000,"Energy","San Francisco","CA","yes","37.779026200000000","-122.419906000000000"
"Baker Hughes","20705","-0.131","-9940","22494.8",55000,"20502","-1","-219","37410.2",54000,"Energy","Houston","TX","no","29.758938200000000","-95.367697400000000"
"Cleveland-Cliffs","5354","1.691","-122","10033",25000,"20444","281.8","2988","16891.2",26000,"Materials","Cleveland","OH","no","41.499657400000000","-81.693677200000000"
"United States Steel","9741","-0.247","-1165","7034",23350,"20275","108.1","4174","9832.3",24540,"Materials","Pittsburgh","PA","no","40.441694100000000","-79.990086100000000"
"Becton Dickinson","17117","-0.01","874","70649.7",72000,"20248","18.3","2092","75749.1",75000,"Health Care","Franklin Lakes","NJ","no","41.016763900000000","-74.205701200000000"
"CarMax","21424.1","0.119","888.4","21562.7",27050,"20092.1","-6.2","746.9","15598.9",26889,"Retailing","Richmond","VA","no","37.538508700000000","-77.434280000000000"
"Sherwin-Williams","18361.7","0.026","2030.4","65837.3",61031,"19944.6","8.6","1864.4","65037.9",61626,"Chemicals","Cleveland","OH","no","41.499657400000000","-81.693677200000000"
"Builders FirstSource","8558.9","0.176","313.5","9572.2",26000,"19893.9","132.4","1725.4","11408.9",28000,"Materials","Dallas","TX","no","32.776271900000000","-96.796855900000000"
"Marsh & McLennan","17224","0.034","2016","62054.9",76000,"19820","15.1","3143","85681.3",83000,"Financials","New York","NY","no","40.712728100000000","-74.006015200000000"
"PNC Financial Services Group","24039","0.112","7517","74377.4",50403,"19698","-18.1","5674","77203.4",58547,"Financials","Pittsburgh","PA","no","40.441694100000000","-79.990086100000000"
"Lumen Technologies","20712","-0.075","-1232","14642.9",39000,"19687","-4.9","2033","11533.4",36000,"Telecommunications","Monroe","LA","no","32.510242700000000","-92.103241100000000"
"Avnet","17634.3","-0.097","-31.1","4128.4",14600,"19534.7","10.8","193.1","4016.9",14500,"Wholesalers","Phoenix","AZ","no","33.448436700000000","-112.074141000000000"
"Tenet Healthcare","17640","-0.045","399","5536.5",97900,"19485","10.5","914","9387.6",88968,"Health Care","Dallas","TX","no","32.776271900000000","-96.796855900000000"
