Company,Revenue_2022,Revenue%change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022
Dillard's,6624.3,49.4,862.5,4928.2,25350
Regions Financial,6605.0,-0.8,2521.0,20860.9,19626
Yum Brands,6584.0,16.5,1575.0,34252.9,25650
Landstar System,6540.4,58.1,381.5,5600.0,1399
CF Industries Holdings,6538.3,58.5,917.1,21551.3,3003
Northern Trust,6488.3,3.0,1545.3,24215.1,21100
Robert Half International,6461.4,26.5,598.6,12638.1,14600
Hasbro,6420.4,17.5,428.7,11383.6,6640
Roper Technologies,6415.8,16.1,1152.6,49868.8,19300
ARKO,6412.6,88.1,59.2,1133.9,11236
Ameren,6394.0,10.4,990.0,24198.7,9116
O-I Glass,6357.0,4.4,149.0,2058.0,24000
Chemours,6345.0,27.7,608.0,5015.0,6400
Crown Castle International,6340.0,8.6,1096.0,79937.3,5000
Agilent Technologies,6319.0,18.4,1210.0,39714.0,17000
McCormick,6317.9,12.8,755.3,26754.0,14000
Skechers U.S.A.,6310.2,36.8,741.5,6360.4,8950
Watsco,6280.2,24.2,418.9,11842.6,6875
Live Nation Entertainment,6268.4,236.8,-650.9,26425.0,16200
ABM Industries,6228.6,4.0,126.3,3078.7,124000
Post Holdings,6226.7,9.3,166.7,4284.4,10735
Moody's,6218.0,15.8,2214.0,62548.1,13460
Select Medical Holdings,6204.5,12.2,402.2,3208.6,43200
Alaska Air Group,6176.0,73.2,478.0,7314.3,21691
Big Lots,6150.6,-0.8,177.8,988.1,23350
Amkor Technology,6138.3,21.5,643.0,5313.0,30400
Sinclair Broadcast Group,6134.0,3.2,-414.0,2008.1,11500
RPM International,6106.3,10.9,502.6,10560.8,15490
