Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Chewy,7146.3,0.474,-92.5,35176.9,18500
Activision Blizzard,8086.0,0.246,2197.0,72052.1,9500
Toll Brothers,7077.7,-0.02,446.6,6984.8,4500
Carlyle Group,2934.6,-0.131,348.2,13020.2,1825
Ovintiv,6087.0,-0.095,-6097.0,6219.6,1916
UFP Industries,5154.0,0.167,246.8,4683.3,12000
Ulta Beauty,6152.0,-0.168,175.8,17377.1,26500
Constellation Brands,8343.5,0.028,-11.8,44247.5,9000
Expedia Group,5199.0,-0.569,-2612.0,24762.0,19100
CommScope Holding,8435.9,0.011,-573.4,3124.2,30000
Celanese,5655.0,-0.102,1985.0,17104.5,7658
Global Payments,7423.6,0.511,584.5,59484.3,24000
Owens Corning,7055.0,-0.015,-383.0,9662.7,19000
Campbell Soup,9050.0,-0.087,1628.0,15232.3,14500
Huntsman,6025.0,-0.278,1034.0,6390.1,9000
Franklin Resources,5566.5,-0.036,798.9,14960.0,11800
Avery Dennison,6971.5,-0.014,555.9,15246.5,32000
Masco,7289.0,-0.115,1224.0,15208.8,18000
CenterPoint Energy,8835.0,-0.282,-773.0,12493.3,9541
Fifth Third Bancorp,8402.0,-0.142,1427.0,26628.6,19872
WEC Energy Group,7241.7,-0.037,1199.9,29521.5,7273
S&P Global,7442.0,0.111,2339.0,85001.6,23000
Polaris,7108.3,0.036,124.8,8179.3,15000
Williams-Sonoma,6783.2,0.15,680.7,13653.8,16600
Autoliv,7447.4,-0.129,186.9,8112.8,64716
Arthur J. Gallagher,7003.6,-0.027,818.8,24353.4,32401
Motorola Solutions,7414.0,-0.06,949.0,31785.8,18000
Zillow Group,3339.8,0.218,-162.1,31310.9,5504
Opendoor Technologies,2583.1,-0.455,-286.8,12231.5,1048
J.M. Smucker,7801.0,-0.005,779.5,13865.9,7300
Realogy Holdings,6221.0,0.06,-360.0,1767.4,9335
Oshkosh,6856.8,-0.182,324.5,8114.5,14400
MasTec,6321.0,-0.12,322.8,6953.4,18000
APA,4308.0,-0.328,-4860.0,6765.6,2272
Boise Cascade,5474.8,0.179,175.0,2353.1,6040
Dover,6683.8,-0.063,683.5,19727.1,23000
Genworth Financial,8658.0,-0.003,178.0,1679.2,3000
Bath & Body Works,11846.9,-0.083,844.5,17247.5,57350
Booz Allen Hamilton Holding,7463.8,0.113,482.6,11089.5,27200
Zimmer Biomet Holdings,7024.5,-0.12,-138.9,33347.3,20000
Westinghouse Air Brake Technologies,7556.1,-0.079,414.4,14953.0,27000
Zoetis,6675.0,0.066,1638.0,74829.2,11300
Packaging Corp. of America,6658.2,-0.044,461.0,12775.0,15200
LPL Financial Holdings,5871.6,0.044,472.6,11358.6,4756
T. Rowe Price,6206.7,0.105,2372.7,39031.0,7678
Fortune Brands Home & Security,6090.3,0.057,553.1,13264.2,27505
Casey's General Stores,8112.3,-0.03,263.8,7987.6,27218
A-Mark Precious Metals,5461.1,0.142,30.5,360.2,218
Hess,4804.0,-0.262,-3093.0,21722.4,1621
Vertex Pharmaceuticals,6205.7,0.491,2711.6,55862.8,3400
KeyCorp,7337.0,-0.046,1343.0,19182.0,16826
Chipotle Mexican Grill,5984.6,0.071,355.8,39987.7,88000
CMS Energy,6680.0,-0.024,755.0,17718.7,8493
Taylor Morrison Home,6129.3,0.287,243.4,3969.2,2700
American Financial Group,7909.0,-0.04,732.0,9858.2,7300
UGI,6559.0,-0.104,532.0,8552.8,11300
Science Applications International,7056.0,0.106,209.0,4853.8,26134
Avantor,6393.6,0.058,116.6,16631.4,12400
Hanesbrands,6664.4,-0.043,-75.6,6865.0,61000
Clorox,6721.0,0.082,939.0,24262.6,8800
KBR,5767.0,0.023,-72.0,5407.0,29000
TravelCenters of America,4846.0,-0.208,-13.9,395.3,16374
Hertz Global Holdings,5258.0,-0.462,-1714.0,268.7,24000
Analog Devices,5603.1,-0.065,1220.8,57208.0,15900
Darden Restaurants,7806.9,-0.083,-52.4,18506.6,177895
Graphic Packaging Holding,6559.9,0.065,167.3,4862.4,18775
NCR,6207.0,-0.102,-79.0,4943.2,36000
Brighthouse Financial,8503.0,0.297,-1061.0,3866.5,1400
PPL,7607.0,-0.021,1469.0,22177.5,12318
Cintas,7085.1,0.028,876.0,35850.9,40000
Xerox Holdings,7022.0,-0.232,192.0,4821.3,24700
Rockwell Automation,6329.8,-0.055,1023.4,30832.2,23500
Citizens Financial Group,7676.0,-0.048,1057.0,18768.4,17584
KLA,5806.4,0.271,1216.8,50906.3,10600
Camping World Holdings,5446.6,0.113,122.3,3452.5,11427
Ingredion,5987.0,-0.036,348.0,6034.6,12000
Veritiv,6345.6,-0.172,34.2,679.5,6400
Beacon Roofing Supply,6943.9,-0.023,-80.9,3631.4,7582
Diamondback Energy,2813.0,-0.29,-4517.0,13288.7,732
Academy Sports and Outdoors,5689.2,0.178,308.8,2459.2,16500
Sanmina,6960.4,-0.155,139.7,2686.7,33500
ON Semiconductor,5255.0,-0.048,234.2,17138.4,32750
Commercial Metals,5476.5,-0.06,279.5,3716.5,11297
EnLink Midstream,3893.8,-0.357,-421.5,2102.3,1069
Southwestern Energy,2308.0,-0.24,-3112.0,3136.2,900
Equinix,5998.5,0.078,369.8,60679.1,10013
Dillard's,4433.2,-0.301,-71.7,2123.7,24000
Regions Financial,6655.0,-0.015,1094.0,19847.5,19406
Yum Brands,5652.0,0.01,904.0,32460.0,38000
Landstar System,4136.4,0.011,192.1,6339.7,1320
CF Industries Holdings,4124.1,-0.102,317.0,9732.1,3038
Northern Trust,6301.1,-0.086,1209.3,21854.2,20900
Robert Half International,5109.0,-0.159,306.3,8831.7,13000
Hasbro,5465.4,0.158,222.5,13202.2,6822
Roper Technologies,5527.1,0.03,949.7,42326.3,18400
ARKO,3409.4,-0.06,13.2,1236.8,10380
Ameren,5794.0,-0.02,871.0,20780.2,9183
O-I Glass,6091.0,-0.09,249.0,2327.1,25000
Chemours,4969.0,-0.101,219.0,4610.6,6500
Crown Castle International,5840.0,0.013,1056.0,74392.4,4900
Agilent Technologies,5339.0,0.034,719.0,38739.2,16400
McCormick,5601.3,0.047,747.4,23808.9,13000
Skechers U.S.A.,4613.4,-0.12,98.6,6579.6,8800
Watsco,5054.9,0.06,269.6,10068.2,5800
Live Nation Entertainment,1861.2,-0.839,-1724.5,18457.7,8200
ABM Industries,5987.6,-0.079,0.3,3422.2,114000
Post Holdings,5698.7,0.003,0.8,6804.9,10200
